country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850,3620,3390,3150,3090,3060,3080,3110,3200,3320,3450,3330,3370,3440,3590,3760,3940,4190,4420,4400,4540,4650,4620,4750,4920,5110,5250,5300,5440,5630
Norway,23200,24400,24900,25700,26700,27900,28800,30300,30700,31900,32200,33800,35400,36700,37900,39600,41700,43200,44700,46500,48500,49100,49000,50800,53700,56600,58600,59400,58900,59300,60200,61800,63600,65100,68000,70400,73600,77000,78600,79600,81700,82900,83700,83900,86800,88400,89800,91600,90900,88200,87700,87400,88600,88400,89200,90000,90200,91500,92100,92600
Oman,,,,,,2290,2340,3790,6690,8150,8990,8760,9290,7660,8190,9720,11100,10700,9740,9610,9640,10700,11300,12500,13800,15100,14700,13700,14000,15100,14500,14700,15200,15500,15500,15900,16100,17000,17400,17400,18200,18800,18300,17400,17200,17200,17600,17800,18600,18900,18800,17400,17600,17100,16400,16200,16200,15600,15400,15000
Pakistan,302,313,319,338,355,382,393,404,422,433,469,459,450,469,472,478,488,492,515,518,553,577,594,614,624,649,663,684,714,727,737,752,788,780,787,804,819,804,801,808,820,828,829,856,900,937,970,994,988,993,987,993,1010,1030,1050,1080,1120,1160,1200,1190
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9280,9730,9940,9570,10000,10500,10400,10800,10400,10000,10200,10800,11100,11000,11400,12600,12600,12100,12300,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1940,1880,2060,2300,2420,2160,1910,1630,1810,1950,2100,1970,2050,2110,2240,2350,2580,2680,2670,2600,2630,2690,2720,2680,
Panama,2140,2300,2420,2550,2580,2740,2860,3020,3140,3300,3430,3660,3720,3810,3800,3760,3730,3670,3930,4010,4430,4720,4860,4540,4560,4680,4740,4550,3860,3840,4060,4350,4610,4770,4800,4790,4880,5090,5360,5450,5490,5420,5440,5560,5870,6170,6590,7240,7810,7770,8080,8840,9540,10000,10400,10800,11100,11500,11800,11900
Papua New Guinea,1010,1060,1100,1130,1200,1290,1340,1360,1390,1470,1590,1650,1710,1770,1780,1720,1620,1590,1680,1670,1590,1540,1510,1510,1470,1490,1520,1520,1530,1470,1390,1490,1660,1920,1980,1870,1970,1850,1730,1720,1640,1610,1570,1570,1580,1650,1700,1780,1740,1810,1950,1930,1980,2010,2240,2400,2450,2490,2420,2510
Paraguay,1360,1420,1430,1460,1480,1530,1520,1610,1640,1680,1730,1780,1850,1940,2050,2140,2250,2440,2660,2900,3150,3350,3210,3020,3010,3060,3120,3260,3360,3500,3550,3580,3550,3630,3730,3900,3870,3940,3860,3730,3570,3470,3410,3490,3570,3590,3700,3850,4040,3970,4360,4480,4390,4700,4860,4940,5090,5270,5380,5310
Peru,2660,2780,2970,3010,3120,3200,3370,3400,3310,3330,3350,3410,3430,3550,3780,3840,3790,3710,3520,3570,3690,3800,3700,3240,3270,3270,3490,3750,3320,2850,2650,2650,2590,2670,2950,3110,3140,3280,3210,3200,3240,3220,3360,3460,3600,3800,4050,4360,4720,4730,5080,5360,5640,5920,6000,6110,6260,6310,6450,6490
Philippines,1100,1120,1140,1180,1180,1210,1220,1250,1270,1290,1310,1340,1370,1450,1460,1500,1590,1630,1670,1710,1750,1760,1780,1760,1590,1430,1440,1470,1530,1580,1590,1540,1510,1500,1530,1570,1620,1670,1620,1630,1670,1680,1710,1760,1840,1890,1960,2050,2110,2100,2220,2260,2380,2500,2610,2740,2890,3040,3190,3340
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5950,5510,5630,5830,6120,6540,6930,7370,7710,8070,8530,8640,8820,9140,9610,9950,10600,11300,11800,12100,12600,13200,13400,13600,14100,14600,15100,15800,16700,17400
Portugal,4500,4710,4990,5260,5590,6030,6320,6840,7480,7710,8760,9380,10100,11300,11300,10400,10800,11200,11400,12000,12400,12500,12700,12600,12300,12600,13100,13900,15000,16000,16700,17400,17600,17300,17400,18100,18600,19400,20200,20900,21500,21800,21800,21500,21900,22000,22300,22800,22900,22100,22500,22100,21300,21300,21500,22000,22500,23400,24000,24600
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60800,60900,62600,61100,65900,61600,65800,65200,65000,63200,67400,69700,67600,66400,65600,65100,64300,63600,63300,62000
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5380,4730,4350,4420,4600,4900,5110,4870,4780,4770,4900,5220,5620,5800,6440,6780,7370,8020,8910,8490,8210,8420,8630,8970,9310,9710,10200,11000,11600,12100
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9880,9570,9060,7740,7070,6180,5930,5710,5800,5510,5880,6490,6850,7210,7770,8360,8930,9690,10500,11100,10200,10700,11100,11600,11700,11600,11400,11400,11600,11800,12000
Rwanda,353,331,361,320,275,288,300,312,323,348,357,351,342,343,338,321,371,366,387,418,440,449,442,454,419,420,422,401,401,391,381,382,427,420,221,303,332,354,355,344,353,369,408,410,434,467,498,523,566,585,612,645,683,698,723,768,793,803,849,905
Samoa,,,,,,,,,,,,,,,,,,,,,,,2280,2270,2290,2370,2490,2490,2450,2530,2410,2340,2310,2380,2300,2430,2590,2590,2640,2680,2860,3040,3150,3270,3400,3520,3570,3770,3780,3580,3570,3690,3500,3460,3440,3560,3820,3850,3750,3860
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53500,56900,61400,62000,64600,64000,65600,67700,68400,70100,74200,72900,64600,60200,54500,49900,48900,47900,48600,49500,49500,49900,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844,849,886,901,942,1000,1000,1060,1050,1090,1120,1130,1160,1210,1240,1260,1290,1300,1300
Saudi Arabia,,,,,,,,,14300,14500,22100,25500,29900,35400,39200,33900,38000,38700,34800,36800,36700,35200,26200,20600,18500,15800,17600,15700,17000,16300,18100,20200,20300,19500,19100,18700,18800,18700,18900,17800,18400,17700,16700,18000,18900,19400,19400,19200,19800,18900,19300,20600,21000,20900,21100,21400,21300,20700,20800,20500
Senegal,1360,1360,1330,1310,1330,1310,1310,1260,1300,1180,1240,1200,1240,1140,1150,1200,1280,1210,1140,1190,1120,1140,1200,1100,1110,1110,1110,1140,1100,1110,1070,1070,1050,1030,1000,1030,1020,1030,1070,1110,1120,1140,1120,1160,1200,1240,1240,1260,1280,1270,1280,1260,1290,1290,1340,1380,1430,1500,1550,1580
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060,3260,3500,3630,3300,3520,3770,4010,4200,4580,4850,5120,5470,5810,5670,5740,5900,5890,6090,6020,6160,6390,6560,6890,7210
Seychelles,2830,2620,2760,2970,3060,2960,3280,3220,3380,3300,3510,3990,4140,4440,4420,4460,5080,4670,5620,6450,6120,5550,5460,5370,5580,6150,6100,6100,6410,7080,7540,7650,8160,8490,8200,8010,8280,9160,9740,9730,9790,9560,9380,8930,8710,9450,10100,11100,10600,10500,10800,12000,12000,12500,12900,13200,13600,14000,14400,15000
Sierra Leone,373,374,385,385,404,426,426,419,420,447,477,484,478,479,486,484,471,462,462,473,485,488,500,479,487,449,442,459,415,408,415,422,342,348,343,316,321,300,303,291,302,273,330,345,352,354,357,376,387,390,402,418,470,555,568,441,458,467,473,488
Singapore,3500,3660,3830,4110,3880,4090,4390,4830,5400,6050,6790,7490,8330,9050,9440,9670,10300,10800,11500,12400,13500,14300,14700,15700,16800,16600,16900,18400,20000,21400,22600,23400,24200,26300,28300,29500,30400,31900,30100,31600,33900,32600,33600,35600,38600,40500,42800,44700,43200,42000,47200,49200,50100,51700,53100,54000,55000,57400,59100,58800
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7700,7820,8270,8730,9290,9820,10200,10200,10300,10700,11200,11800,12400,13200,14400,15900,16800,15800,16700,17200,17500,17600,18000,18900,19300,19800,20600,21000
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15500,14100,13400,13800,14500,15100,15600,16400,17000,17900,18500,19100,19700,20300,21200,21900,23100,24600,25400,23300,23500,23700,23000,22700,23300,23800,24600,25700,26700,27200
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1340,1470,1480,1570,1650,1630,1570,1550,1500,1250,1120,1060,1100,1130,1160,1210,1270,1330,1240,1290,1420,1450,1450,1450,1440,1450,1470,1480,1480
South Africa,4620,4690,4850,5080,5350,5530,5630,5880,5970,6090,6240,6340,6270,6390,6600,6540,6520,6360,6390,6470,6720,6900,6680,6380,6530,6280,6130,6110,6220,6230,6060,5850,5590,5520,5560,5620,5750,5790,5730,5780,5940,6020,6160,6270,6470,6730,7020,7300,7430,7220,7330,7450,7500,7560,7580,7560,7480,7480,7430,7350
South Korea,932,968,977,1040,1100,1160,1260,1350,1490,1670,1790,1940,2050,2310,2490,2640,2940,3250,3550,3800,3680,3880,4140,4630,5060,5400,5950,6640,7370,7810,8500,9320,9790,10400,11200,12200,13000,13700,12900,14300,15400,16000,17200,17600,18500,19200,20100,21200,21700,21700,23100,23800,24200,24900,25500,26100,26700,27500,28100,28600
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,1510,1540,1420,742,820,832,731,,,,
Spain,7380,8170,8900,9670,10100,10600,11300,11600,12200,13200,13600,14000,15000,16000,16700,16600,17000,17300,17400,17200,17500,17300,17400,17700,17900,18300,18800,19800,20700,21700,22500,23000,23100,22800,23200,23700,24300,25100,26100,27100,28400,29300,29700,30000,30400,31000,31800,32300,32100,30600,30500,30100,29200,28900,29400,30500,31400,32300,32900,33300
Sri Lanka,,586,594,595,604,605,620,644,666,701,712,706,690,724,738,769,780,805,835,873,909,946,971,1000,1040,1080,1110,1110,1120,1130,1190,1230,1270,1340,1400,1470,1510,1600,1670,1730,1830,1780,1840,1930,2020,2130,2280,2410,2540,2610,2800,3010,3290,3370,3510,3650,3770,3860,3950,4010
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,4300,4490,4860,5300,5420,5480,5570,6110,6680,7480,8050,8880,9430,9920,9700,10000,10600,11000,11500,12100,12800,12600,12900,14100,14700,14900,14200,14600,15800,15800,15700,16500,15700,15500,15700,15200,15800,16700,16700,17100,16600,16900,17200
St. Lucia,,,,,,,,,,,,,,,,,,3610,3930,4010,3870,4060,4090,4240,4480,4780,5370,5480,6120,6560,7090,7010,7480,7430,7470,7500,7620,7460,7820,7930,7850,7510,7480,7750,8240,8130,8530,8560,8860,8500,8540,8930,8860,8540,8650,8490,8790,9050,9240,9350
St. Vincent and the Grenadines,1750,1800,1850,1710,1760,1750,1730,1550,1640,1670,1830,1860,2320,2040,1840,1680,1830,2050,2230,2290,2320,2410,2490,2530,2680,2820,2960,2950,3350,3380,3510,3540,3750,3910,3860,4160,4220,4370,4550,4680,4750,4830,5130,5510,5730,5860,6310,6530,6640,6510,6290,6260,6340,6450,6510,6580,6690,6730,6850,6850
Sudan,876,854,889,840,808,839,786,775,767,755,776,770,709,692,747,837,946,972,884,812,797,827,847,835,768,698,715,795,772,819,755,791,821,837,823,850,876,943,957,960,993,1030,1060,1120,1130,1180,1260,1370,1440,1440,1400,1590,1750,1780,1780,1830,1870,1900,1810,1720
Suriname,3340,3400,3440,3540,3670,4000,4640,5060,5310,5440,5520,5720,5700,5650,5720,5920,6460,7130,7590,7530,6850,7330,7010,6710,6540,6600,6550,6030,6370,6500,6090,6130,6040,5540,5640,5550,5530,5770,5830,5680,5730,5900,5990,6290,6750,6970,7290,7570,7800,7940,8260,8640,8770,8930,8860,8460,7910,7970,8100,7970
Sweden,18100,19000,19700,20600,21900,22500,22700,23300,24000,25100,26700,26700,27300,28300,29100,29700,29900,29400,29800,30900,31300,31400,31800,32400,33700,34400,35200,36300,37100,37800,37800,37100,36500,35500,36600,37900,38400,39600,41200,43000,44900,45500,46300,47200,49100,50300,52300,53700,53100,50300,52900,54100,53400,53600,54500,56300,56800,57500,57900,58000
Switzerland,,,,,,,,,,,49600,51300,52600,53800,54300,50300,49900,51300,51500,52700,54900,55500,54400,54500,56000,57800,58500,59100,60600,62700,64300,63000,62200,61600,61900,61800,61800,63100,64800,65600,67800,68300,67900,67400,68800,70500,72800,75100,75800,73200,74600,75000,75000,75500,76400,76600,77000,77700,79200,79400
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,1380,1380,1320,1460,1320,1280,1170,813,669,518,447,367,368,381,390,415,448,488,532,576,603,633,669,707,719,750,787,827,868,904,936,976,1020,1070,1120
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,497,516,509,495,484,477,479,488,493,500,512,522,540,562,583,610,637,660,685,704,720,743,777,788,817,846,872,904,937,959,985
Thailand,571,584,609,639,662,695,750,790,830,859,929,947,960,1030,1050,1070,1140,1230,1320,1360,1400,1460,1510,1560,1620,1670,1730,1860,2070,2280,2500,2690,2870,3080,3300,3530,3690,3550,3240,3350,3460,3540,3730,3970,4190,4340,4530,4750,4800,4740,5080,5090,5440,5560,5590,5740,5920,6140,6370,6500
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641,732,667,635,622,625,587,635,694,750,806,838,873,876,899,909,923,871,848,860
Togo,375,416,427,444,498,559,589,594,595,631,622,602,630,638,654,655,627,657,713,659,733,686,638,581,591,603,592,577,597,604,587,570,535,445,501,526,557,617,584,580,559,548,554,577,557,517,517,497,503,517,534,553,574,593,612,631,649,661,677,696
Tonga,,,,,,,,,,,,,,,,,,,,,,2210,2300,2350,2390,2540,2590,2660,2600,2610,2550,2700,2710,2800,2940,3040,3030,3010,3080,3190,3280,3380,3480,3530,3500,3530,3470,3300,3370,3430,3550,3670,3730,3650,3750,3900,4020,4090,4050,
Trinidad and Tobago,4010,4480,4530,4710,5010,5000,5160,5230,5470,5580,5730,5720,5980,5990,6130,6130,6430,6920,7510,7670,8350,8590,8770,7740,7190,6810,6510,6160,5870,5780,5820,5970,6530,6450,6650,6870,7340,7880,8510,9180,9790,10200,10900,12400,13400,14100,15900,16600,17100,16200,16700,16500,16600,16900,16600,16800,15700,15300,15200,15100
Tunisia,,,,,,1110,1130,1110,1190,1220,1250,1360,1560,1520,1600,1680,1770,1790,1860,1940,2030,2080,2010,2050,2100,2160,2080,2170,2120,2110,2220,2260,2380,2390,2420,2430,2560,2670,2760,2900,3000,3090,3100,3230,3400,3490,3640,3840,3970,4040,4140,4020,4140,4220,4300,4310,4310,4340,4410,4410
Turkey,3180,3130,3230,3440,3540,3560,3860,3950,4120,4190,4220,4350,4560,4600,4740,4970,5360,5420,5380,5230,4990,5110,5170,5310,5540,5660,5940,6380,6400,6310,6770,6710,6930,7340,6890,7320,7730,8190,8240,7840,8240,7630,8000,8330,9010,9690,10300,10600,10600,9980,10700,11700,12000,12800,13300,13900,14100,14900,15100,15000
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790,3020,2820,3710,3440,2850,2810,2260,2050,2150,1880,1980,2280,2380,2460,2440,2500,2590,2900,3180,3490,3950,4130,4440,5010,5460,5910,6400,6690,6990,7320,7650,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2410,2460,2510,2590,2830,2680,2510,2760,3190,3130,3090,3110,3310,3160,3070,2920,2950,3100,3320,3140,3020,3220,3060,3170,3180,3430,3490,3590,3640,3940
Uganda,,,,,,,,,,,,,,,,,,,,,,,401,411,396,371,359,361,377,387,398,406,406,426,439,475,503,513,523,549,549,560,590,609,630,649,696,732,771,797,816,865,870,872,886,900,910,910,931,957
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,4020,4110,4240,3970,3620,3260,2800,2170,1920,1740,1700,1690,1700,1820,2010,2130,2350,2660,2760,2980,3230,3320,2840,2970,3140,3150,3160,3120,2830,2900,2990,3110,3220
United Arab Emirates,,,,,,,,,,,,,,,,104000,104000,109000,94700,103000,116000,113000,99300,89700,88600,80900,65000,63400,58100,61600,68800,65500,63900,61100,61800,62700,63100,64900,61800,60300,63300,60900,59200,60400,60300,56100,53300,47300,42500,36000,33900,34600,35400,37000,38500,40200,41000,41500,41300,41400
United Kingdom,13900,14200,14200,14800,15500,15800,15900,16300,17100,17300,17900,18500,19200,20400,19900,19600,20200,20700,21600,22300,21900,21700,22100,23100,23500,24500,25200,26500,27900,28600,28700,28300,28300,29000,30000,30700,31400,32500,33600,34600,35700,36600,37300,38300,39000,40000,40800,41500,41000,39000,39400,39700,40000,40600,41400,42000,42500,43000,43300,43700
United States,17600,17700,18500,19000,19800,20800,21900,22200,23100,23600,23200,23700,24600,25800,25400,25100,26200,27200,28400,28900,28600,29000,28200,29300,31100,32100,32900,33800,34900,35800,36100,35500,36300,36800,37800,38400,39400,40600,41900,43400,44700,44700,45100,46000,47300,48500,49400,49900,49300,47600,48500,48900,49600,50200,51000,52100,52600,53400,54700,55700
Uruguay,5470,5540,5380,5330,5400,5400,5500,5250,5300,5570,5670,5640,5560,5570,5730,6070,6280,6340,6630,7000,7360,7420,6650,5930,5830,5870,6350,6820,6870,6900,6880,7070,7580,7720,8220,8050,8430,9090,9440,9210,9000,8640,7970,8040,8450,9080,9440,10000,10700,11200,12000,12600,13000,13500,13900,13900,14100,14400,14600,14600
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140,1210,1220,1200,1170,1010,969,901,876,874,903,927,956,979,1010,1030,1070,1130,1200,1270,1370,1470,1560,1630,1710,1810,1920,2030,2140,2230,2290,2370,2460
Vanuatu,,,,,,,,,,,,,,,,,,,,2400,2070,2100,2270,2530,2710,2680,2610,2480,2380,2360,2570,2570,2560,2510,2660,2630,2630,2710,2780,2740,2840,2680,2480,2520,2560,2630,2780,2860,2970,2990,2970,2920,2890,2870,2850,2780,2800,2850,2860,2870
Venezuela,12500,12400,13000,13000,14000,14100,13800,13800,14300,14000,14600,14300,14100,14700,14600,14600,15200,15700,15700,15300,14300,13800,13200,12400,12200,11900,12400,12500,12900,11500,12000,12800,13300,13000,12500,12700,12400,12900,12700,11700,11900,12100,10800,9830,11400,12400,13400,14400,14900,14200,13800,14200,14700,14700,14000,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,378,383,385,390,401,421,433,450,478,507,542,583,628,670,700,724,765,804,847,897,955,1020,1080,1150,1200,1250,1320,1390,1440,1510,1580,1670,1750,1850,1960,2080
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1010,1040,1030,1050,1060,1070,1090,1120,1130,1170,1180,1190,1200,1210,1240,1250,1250,1260,1270,1330,1130,1130,1150,1120,785,694,643,633,
Zambia,1500,1470,1390,1400,1520,1720,1570,1650,1620,1560,1580,1530,1610,1550,1590,1500,1540,1420,1380,1300,1290,1330,1250,1180,1140,1120,1090,1090,1120,1080,1040,1020,975,1020,907,910,941,951,921,938,949,973,991,1030,1080,1130,1180,1250,1310,1390,1490,1530,1590,1620,1640,1640,1650,1660,1680,1660
Zimbabwe,995,1020,1000,1030,985,999,981,1030,1010,1100,1310,1370,1440,1420,1460,1390,1350,1220,1150,1150,1270,1380,1360,1340,1260,1300,1280,1250,1310,1330,1390,1430,1270,1270,1360,1350,1470,1490,1520,1500,1450,1460,1330,1100,1030,971,932,890,726,803,948,1070,1220,1230,1230,1230,1220,1260,1310,1180
